"data_all_energy","energy_people","energy_experiments"
3657.75705228314,"p1","e1"
3540.52020144879,"p1","e1"
3552.39950316227,"p1","e1"
3531.12100936522,"p1","e1"
3577.77726257521,"p1","e1"
3734.78921213911,"p1","e1"
3698.28414114482,"p1","e1"
3522.89406261853,"p1","e1"
3791.99056658851,"p1","e1"
3711.11731988482,"p1","e1"
3313.05531789289,"p2","e1"
3534.6458506079,"p2","e1"
3371.01760438361,"p2","e1"
3341.68729425407,"p2","e1"
3487.02949116448,"p2","e1"
3554.182806581,"p2","e1"
3477.70456778418,"p2","e1"
3444.55265887406,"p2","e1"
3519.75304390968,"p2","e1"
3169.13839670761,"p2","e1"
3486.09771816586,"p3","e1"
3617.90174033887,"p3","e1"
3648.40404058008,"p3","e1"
3308.40688203637,"p3","e1"
3446.20372338691,"p3","e1"
3454.44586490506,"p3","e1"
3592.10909856953,"p3","e1"
3521.14116154565,"p3","e1"
3450.39816922321,"p3","e1"
3592.95970214633,"p3","e1"
3728.10063694341,"p4","e1"
3412.89624704813,"p4","e1"
3530.33212268523,"p4","e1"
3519.77407954982,"p4","e1"
3439.31065108418,"p4","e1"
3422.63507780109,"p4","e1"
3558.25965581892,"p4","e1"
3556.60618588386,"p4","e1"
3669.62188144624,"p4","e1"
3741.41217647474,"p4","e1"
3859.74169430837,"p5","e1"
3571.34670735497,"p5","e1"
3422.20430232969,"p5","e1"
3416.60423008229,"p5","e1"
3667.77394648631,"p5","e1"
3484.97384338849,"p5","e1"
3490.81398816099,"p5","e1"
3528.04269842478,"p5","e1"
3504.06167003725,"p5","e1"
3395.62662061008,"p5","e1"
3437.50308179027,"p6","e1"
3577.27940518559,"p6","e1"
3704.51151032716,"p6","e1"
3608.86292354515,"p6","e1"
3824.4692858858,"p6","e1"
3586.74375790283,"p6","e1"
3376.53195078792,"p6","e1"
3427.20722913994,"p6","e1"
3608.47290409607,"p6","e1"
3389.4234971558,"p6","e1"
3741.51225696756,"p7","e1"
3571.67505368234,"p7","e1"
3833.1316934771,"p7","e1"
3436.08629313954,"p7","e1"
3555.88121790436,"p7","e1"
3297.48836294068,"p7","e1"
3273.6743542316,"p7","e1"
3624.65071396661,"p7","e1"
3526.6962378219,"p7","e1"
3573.39101714032,"p7","e1"
3492.84002148424,"p8","e1"
3541.93016476799,"p8","e1"
3466.68471898748,"p8","e1"
3296.58771689911,"p8","e1"
3361.40270182745,"p8","e1"
