"data_all_max","max_people","max_experiments","max_coords"
60.1537203846981,"p1","e1","x"
-0.762149314471482,"p2","e1","y"
51.1007326930321,"p3","e1","z"
58.8699396292808,"p4","e1","x"
0.210731845597573,"p5","e1","y"
51.9009292631599,"p6","e1","z"
60.6107970060618,"p7","e1","x"
0.644336470670175,"p8","e1","y"
49.2698948398831,"p9","e1","z"
59.6138982803905,"p10","e1","x"
0.422284645964616,"p1","e2","y"
50.6174021504277,"p2","e2","z"
59.2952709873346,"p3","e2","x"
0.150432928415989,"p4","e2","y"
52.8584702345459,"p5","e2","z"
61.2003013568718,"p6","e2","x"
0.395683630023825,"p7","e2","y"
54.9721345833735,"p8","e2","z"
60.2188153068681,"p9","e2","x"
0.209283099623242,"p10","e2","y"
57.1010471620049,"p1","e3","z"
59.8615464235058,"p2","e3","x"
0.743159374474396,"p3","e3","y"
59.2438416056184,"p4","e3","z"
61.3496678098009,"p5","e3","x"
0.126895619574439,"p6","e3","y"
58.7467585771168,"p7","e3","z"
59.6073987352334,"p8","e3","x"
-0.429373088669636,"p9","e3","y"
53.5286622094158,"p10","e3","z"
58.9918591099541,"p1","e4","x"
1.31876833404442,"p2","e4","y"
39.0558651955627,"p3","e4","z"
58.7316027290022,"p4","e4","x"
1.88901507674044,"p5","e4","y"
42.7215648408255,"p6","e4","z"
58.9996107359661,"p7","e4","x"
1.23166168907382,"p8","e4","y"
42.1551496800003,"p9","e4","z"
58.6119075458615,"p10","e4","x"
1.68795944549349,"p1","e5","y"
39.3625644680756,"p2","e5","z"
58.6071777678465,"p3","e5","x"
0.110523035981267,"p4","e5","y"
41.5978736929099,"p5","e5","z"
58.2422514995833,"p6","e5","x"
1.42167886165473,"p7","e5","y"
42.2255401960704,"p8","e5","z"
58.6413179938225,"p9","e5","x"
1.23524919104384,"p10","e5","y"
41.785108232765,"p1","e6","z"
59.2251096980104,"p2","e6","x"
0.914091953917537,"p3","e6","y"
39.4301861092337,"p4","e6","z"
58.8718188110244,"p5","e6","x"
1.88546664363144,"p6","e6","y"
41.2789494539928,"p7","e6","z"
58.7930064386316,"p8","e6","x"
0.725077315511265,"p9","e6","y"
39.4713273475199,"p10","e6","z"
59.7771698484064,"p1","e7","x"
0.889748984534143,"p2","e7","y"
45.644761571223,"p3","e7","z"
59.0609642405332,"p4","e7","x"
0.0378205206213057,"p5","e7","y"
44.5712831963316,"p6","e7","z"
59.7409586967417,"p7","e7","x"
-0.462128678263252,"p8","e7","y"
45.1968245075706,"p9","e7","z"
59.0784420572586,"p10","e7","x"
0.427999087590256,"p1","e8","y"
41.0829184889214,"p2","e8","z"
59.3853332678389,"p3","e8","x"
-0.271890965429234,"p4","e8","y"
40.6392800723344,"p5","e8","z"
59.742527192606,"p6","e8","x"
-0.261306945670002,"p7","e8","y"
42.1944503318194,"p8","e8","z"
59.2343751862544,"p9","e8","x"
0.744588208260359,"p10","e8","y"
42.7125451960351,"p1","e9","z"
59.3873901927608,"p2","e9","x"
-0.209615160813479,"p3","e9","y"
42.2150626970799,"p4","e9","z"
59.4661309836546,"p5","e9","x"
0.275815388153968,"p6","e9","y"
43.374274756429,"p7","e9","z"
59.9967940122434,"p8","e9","x"
-0.578959079868575,"p9","e9","y"
41.7790408359618,"p10","e9","z"
59.3774896245335,"p1","e10","x"
1.48912213852757,"p2","e10","y"
46.0870513920372,"p3","e10","z"
59.4551329950161,"p4","e10","x"
-0.263425982705908,"p5","e10","y"
44.1373814721229,"p6","e10","z"
59.7932255019959,"p7","e10","x"
0.316052811253072,"p8","e10","y"
43.7322752345967,"p9","e10","z"
60.5567216850549,"p10","e10","x"
0.258182566437199,"p1","e11","y"
44.8860710126558,"p2","e11","z"
59.8063622165696,"p3","e11","x"
-0.14938297196156,"p4","e11","y"
