"data_all_means","mean_people","mean_experiments","mean_coords"
31.0568909070114,"p1","e1","x"
-4.74709614585056,"p2","e1","y"
35.9573606622837,"p3","e1","z"
29.0697008187699,"p4","e1","x"
-2.98631693117066,"p5","e1","y"
35.9052604516594,"p6","e1","z"
30.020659314159,"p7","e1","x"
-2.78944846515266,"p8","e1","y"
34.3392945756514,"p9","e1","z"
29.5621505386122,"p10","e1","x"
-3.36945655038419,"p1","e2","y"
34.6981868057681,"p2","e2","z"
28.5298231699499,"p3","e2","x"
-3.42535730463778,"p4","e2","y"
36.327240221334,"p5","e2","z"
30.4595059490276,"p6","e2","x"
-2.74673976789075,"p7","e2","y"
36.8860862740922,"p8","e2","z"
29.6443439445158,"p9","e2","x"
-2.3783801491906,"p10","e2","y"
38.056020417405,"p1","e3","z"
25.6630689169731,"p2","e3","x"
-2.1676246144971,"p3","e3","y"
39.2479933814797,"p4","e3","z"
29.5629240873692,"p5","e3","x"
-3.8689900489316,"p6","e3","y"
39.2791222146932,"p7","e3","z"
30.3607412268184,"p8","e3","x"
-3.88991803173572,"p9","e3","y"
37.3862825142851,"p10","e3","z"
29.7278912396171,"p1","e4","x"
-0.547481329466448,"p2","e4","y"
29.8032495524329,"p3","e4","z"
31.6685283381544,"p4","e4","x"
-0.57732570459447,"p5","e4","y"
31.3564179572956,"p6","e4","z"
29.5547884111984,"p7","e4","x"
-0.85531690980749,"p8","e4","y"
31.6911622748267,"p9","e4","z"
30.2962038380853,"p10","e4","x"
-0.551489147802872,"p1","e5","y"
29.7872269097401,"p2","e5","z"
31.611315740648,"p3","e5","x"
-1.63264586354165,"p4","e5","y"
30.1804499283449,"p5","e5","z"
31.8570682516584,"p6","e5","x"
-0.403783497599169,"p7","e5","y"
30.915217982083,"p8","e5","z"
31.1143420550235,"p9","e5","x"
-0.650540900230182,"p10","e5","y"
31.1888181634977,"p1","e6","z"
31.4721954572129,"p2","e6","x"
-0.50398690877179,"p3","e6","y"
29.7126332225525,"p4","e6","z"
31.5984471423009,"p5","e6","x"
-0.509818699438517,"p6","e6","y"
30.5478923559061,"p7","e6","z"
29.1953566305462,"p8","e6","x"
-0.685238059424818,"p9","e6","y"
29.7247669219876,"p10","e6","z"
30.3780443841113,"p1","e7","x"
-0.0342143342190748,"p2","e7","y"
30.9180619651433,"p3","e7","z"
32.5024885204599,"p4","e7","x"
-1.23419381516102,"p5","e7","y"
31.5130726925791,"p6","e7","z"
33.9625664186221,"p7","e7","x"
-1.81888325358133,"p8","e7","y"
30.3828782701058,"p9","e7","z"
29.9365320971415,"p10","e7","x"
-1.38114616519672,"p1","e8","y"
29.7021189451,"p2","e8","z"
32.3005484498192,"p3","e8","x"
-2.37054910592163,"p4","e8","y"
29.7632895057893,"p5","e8","z"
32.3714175185202,"p6","e8","x"
-2.32450528340258,"p7","e8","y"
29.975899020487,"p8","e8","z"
32.339045581814,"p9","e8","x"
-1.39291747704404,"p10","e8","y"
30.6653529404146,"p1","e9","z"
32.5858071031257,"p2","e9","x"
-2.74771362679187,"p3","e9","y"
29.7008877651891,"p4","e9","z"
30.7646164248601,"p5","e9","x"
-2.02655569900973,"p6","e9","y"
30.9543080437118,"p7","e9","z"
33.9409488739459,"p8","e9","x"
-2.68551597979415,"p9","e9","y"
29.4052317158752,"p10","e9","z"
33.0633482502428,"p1","e10","x"
-1.72310842144617,"p2","e10","y"
32.5483006197339,"p3","e10","z"
30.3102185259514,"p4","e10","x"
-2.53645820426901,"p5","e10","y"
32.3406088727916,"p6","e10","z"
32.4645549069572,"p7","e10","x"
-1.57905625545667,"p8","e10","y"
31.9147863178814,"p9","e10","z"
30.7607514014339,"p10","e10","x"
-1.2984472294374,"p1","e11","y"
32.3989713373838,"p2","e11","z"
31.4770949572884,"p3","e11","x"
-1.8567683099744,"p4","e11","y"
32.2879684368556,"p5","e11","z"
30.6222636118549,"p6","e11","x"
-2.3026333425409,"p7","e11","y"
32.4320480489766,"p8","e11","z"
32.457934150233,"p9","e11","x"
-1.48473504842368,"p10","e11","y"
32.5107193849976,"p1","e12","z"
31.7643411219616,"p2","e12","x"
-1.70846096590961,"p3","e12","y"
32.6339280688842,"p4","e12","z"
33.8966352382567,"p5","e12","x"
-1.50311085952536,"p6","e12","y"
32.1896798389413,"p7","e12","z"
33.867320261992,"p8","e12","x"
-1.81039220698488,"p9","e12","y"
31.2619563346869,"p10","e12","z"
33.8730246704706,"p1","e13","x"
-0.864356746956674,"p2","e13","y"
34.6488647831441,"p3","e13","z"
30.7967230126697,"p4","e13","x"
0.439365440753191,"p5","e13","y"
33.0488662285631,"p6","e13","z"
30.6503383238686,"p7","e13","x"
0.775206772146482,"p8","e13","y"
30.7387325543823,"p9","e13","z"
30.9027648537526,"p10","e13","x"
-0.86251771894983,"p1","e14","y"
30.5128796803262,"p2","e14","z"
32.8592405975229,"p3","e14","x"
-0.537434279151778,"p4","e14","y"
32.2492614826047,"p5","e14","z"
31.2326883985527,"p6","e14","x"
0.519544004773468,"p7","e14","y"
31.6901061540436,"p8","e14","z"
31.3591325385343,"p9","e14","x"
0.558066920625969,"p10","e14","y"
31.5920030861844,"p1","e15","z"
31.4261143018459,"p2","e15","x"
0.257910393541801,"p3","e15","y"
31.4989646868897,"p4","e15","z"
30.9254386086812,"p5","e15","x"
0.304675582497538,"p6","e15","y"
32.3837806539764,"p7","e15","z"
30.8969001395367,"p8","e15","x"
0.47672219014142,"p9","e15","y"
30.2123946910923,"p10","e15","z"
30.9903841560912,"p1","e16","x"
-0.899935660524848,"p2","e16","y"
30.0214921589288,"p3","e16","z"
32.2555693073663,"p4","e16","x"
-0.519977362007508,"p5","e16","y"
31.4592421537096,"p6","e16","z"
35.2437644151772,"p7","e16","x"
-0.942479894691697,"p8","e16","y"
29.2240342972292,"p9","e16","z"
33.880059205257,"p10","e16","x"
-1.85121336197793,"p1","e1","y"
30.1984993510908,"p2","e1","z"
35.3697900150076,"p3","e1","x"
-2.39628707297338,"p4","e1","y"
30.5057278925587,"p5","e1","z"
32.893595100749,"p6","e1","x"
-2.14957783229485,"p7","e1","y"
29.5582015913716,"p8","e1","z"
30.1641738419447,"p9","e1","x"
-0.724986651883476,"p10","e1","y"
30.2212600460711,"p1","e2","z"
29.8072544187772,"p2","e2","x"
-1.02888879027995,"p3","e2","y"
31.8577233205743,"p4","e2","z"
32.0381097671865,"p5","e2","x"
-1.96906492073033,"p6","e2","y"
31.753551584246,"p7","e2","z"
31.1606408588156,"p8","e2","x"
-1.16359269776852,"p9","e2","y"
29.2162806120847,"p10","e2","z"
34.6670261186906,"p1","e3","x"
-1.39880984882783,"p2","e3","y"
30.948397404186,"p3","e3","z"
32.7235877820501,"p4","e3","x"
-2.53925537416807,"p5","e3","y"
31.1295427932562,"p6","e3","z"
36.31387218872,"p7","e3","x"
-2.77205215553114,"p8","e3","y"
29.917257080031,"p9","e3","z"
32.1367645848673,"p10","e3","x"
-2.29990726125664,"p1","e4","y"
30.4134116441321,"p2","e4","z"
32.3661529717217,"p3","e4","x"
-2.15134900102328,"p4","e4","y"
31.0631566942124,"p5","e4","z"
29.3928876577706,"p6","e4","x"
-2.86952911279886,"p7","e4","y"
31.1611038375076,"p8","e4","z"
29.3209686709792,"p9","e4","x"
-1.66623849031759,"p10","e4","y"
29.3305775576619,"p1","e5","z"
33.0277249619773,"p2","e5","x"
-1.92723454161297,"p3","e5","y"
30.5182982043224,"p4","e5","z"
32.421325285695,"p5","e5","x"
-2.24236963351257,"p6","e5","y"
30.7664533337543,"p7","e5","z"
33.5882072975922,"p8","e5","x"
-1.42340130803724,"p9","e5","y"
30.2809143453742,"p10","e5","z"
32.5589580256197,"p1","e6","x"
-1.74696287468713,"p2","e6","y"
29.9311332262551,"p3","e6","z"
31.442234330189,"p4","e6","x"
-3.22686193863731,"p5","e6","y"
31.1787709463559,"p6","e6","z"
31.6862995282595,"p7","e6","x"
-1.91938199976872,"p8","e6","y"
29.3509667172365,"p9","e6","z"
29.6421730430616,"p10","e6","x"
-1.82862298168943,"p1","e7","y"
30.0906003964688,"p2","e7","z"
30.2157610758088,"p3","e7","x"
-3.08513505491646,"p4","e7","y"
30.0071409120061,"p5","e7","z"
30.7214547358671,"p6","e7","x"
-2.62844586289262,"p7","e7","y"
30.5070918201347,"p8","e7","z"
30.6020159439873,"p9","e7","x"
-2.65175870306251,"p10","e7","y"
29.4856923090714,"p1","e8","z"
29.5113858822041,"p2","e8","x"
-3.71134318631695,"p3","e8","y"
29.9000725211482,"p4","e8","z"
28.6807691275678,"p5","e8","x"
-2.42543724817732,"p6","e8","y"
29.977804939388,"p7","e8","z"
28.3938237022046,"p8","e8","x"
-3.16256400431195,"p9","e8","y"
30.9255747189945,"p10","e8","z"
31.9432759399413,"p1","e9","x"
-1.56094679961249,"p2","e9","y"
36.6891935172685,"p3","e9","z"
31.301264132819,"p4","e9","x"
-1.07509151681128,"p5","e9","y"
35.2091472307102,"p6","e9","z"
31.7002745447907,"p7","e9","x"
-1.42921695341305,"p8","e9","y"
35.5692329492199,"p9","e9","z"
31.593853815714,"p10","e9","x"
-1.05942543310464,"p1","e10","y"
33.5544946762203,"p2","e10","z"
29.7151621669013,"p3","e10","x"
-1.61521340532797,"p4","e10","y"
37.0643531141713,"p5","e10","z"
30.6998475915406,"p6","e10","x"
-2.02312983431053,"p7","e10","y"
36.512440639012,"p8","e10","z"
30.8005018951924,"p9","e10","x"
-0.346076103883834,"p10","e10","y"
32.6507456759471,"p1","e11","z"
29.5584468144594,"p2","e11","x"
-1.63584477938952,"p3","e11","y"
38.429416014692,"p4","e11","z"
30.6485423601712,"p5","e11","x"
-1.32699796023433,"p6","e11","y"
36.7643073865915,"p7","e11","z"
30.3890081961939,"p8","e11","x"
-0.468196110867653,"p9","e11","y"
34.8263710966618,"p10","e11","z"
29.8540944012813,"p1","e12","x"
-2.75649975687756,"p2","e12","y"
34.693887158413,"p3","e12","z"
31.7233011546269,"p4","e12","x"
-2.07188109037897,"p5","e12","y"
34.2353976071824,"p6","e12","z"
25.0104278863491,"p7","e12","x"
-1.20286850969328,"p8","e12","y"
30.5743217544811,"p9","e12","z"
33.0187778147802,"p10","e12","x"
-2.92302603852659,"p1","e13","y"
31.8392894571592,"p2","e13","z"
28.8271286476497,"p3","e13","x"
0.255893628502449,"p4","e13","y"
31.927876471531,"p5","e13","z"
32.0804048501716,"p6","e13","x"
-0.300910128866916,"p7","e13","y"
32.6051428052686,"p8","e13","z"
32.2624265219908,"p9","e13","x"
-0.984843915330932,"p10","e13","y"
32.7826122513309,"p1","e14","z"
30.3013204974979,"p2","e14","x"
-1.15536069139847,"p3","e14","y"
33.5431896740538,"p4","e14","z"
27.4108086525602,"p5","e14","x"
0.467583760130502,"p6","e14","y"
31.8279776741522,"p7","e14","z"
33.1491725612234,"p8","e14","x"
-0.698933636888942,"p9","e14","y"
30.1693021348738,"p10","e14","z"
29.5216908655994,"p1","e15","x"
-3.8739952856964,"p2","e15","y"
37.3185895026653,"p3","e15","z"
29.7593336868232,"p4","e15","x"
-4.56652027081343,"p5","e15","y"
37.4279934514112,"p6","e15","z"
30.0043652884754,"p7","e15","x"
-2.83915489879122,"p8","e15","y"
38.1117774524372,"p9","e15","z"
27.6398382886215,"p10","e15","x"
-2.81159534271507,"p1","e16","y"
37.8392732316888,"p2","e16","z"
29.4055804423302,"p3","e16","x"
-4.26773370648254,"p4","e16","y"
39.4703315627318,"p5","e16","z"
27.1185943759085,"p6","e16","x"
-3.59424879649898,"p7","e16","y"
39.2260543055374,"p8","e16","z"
26.4851386388479,"p9","e16","x"
-3.9480563816122,"p10","e16","y"
39.3939562225927,"p1","e1","z"
26.8256707683378,"p2","e1","x"
-5.32795083832505,"p3","e1","y"
38.3533731859324,"p4","e1","z"
29.1368069521928,"p5","e1","x"
-3.41428087276538,"p6","e1","y"
38.8400939958117,"p7","e1","z"
26.138731720662,"p8","e1","x"
-4.43067046959292,"p9","e1","y"
37.2129593907793,"p10","e1","z"
27.7801909639044,"p1","e2","x"
-2.11998657430593,"p2","e2","y"
33.3912053339969,"p3","e2","z"
31.9300882858033,"p4","e2","x"
-1.83327735766978,"p5","e2","y"
33.7600962530206,"p6","e2","z"
28.9074999441638,"p7","e2","x"
-2.15911440172599,"p8","e2","y"
32.6987518379123,"p9","e2","z"
29.8196462927563,"p10","e2","x"
-1.93090314246027,"p1","e3","y"
34.1967699622606,"p2","e3","z"
30.7863453897655,"p3","e3","x"
-1.98653671074755,"p4","e3","y"
34.0938796890529,"p5","e3","z"
30.0301152891432,"p6","e3","x"
-2.2480695310542,"p7","e3","y"
33.4921052867283,"p8","e3","z"
30.0211606322087,"p9","e3","x"
-1.57645958944456,"p10","e3","y"
33.491878815788,"p1","e4","z"
29.4776888417156,"p2","e4","x"
-0.789600821568818,"p3","e4","y"
33.9290931829642,"p4","e4","z"
30.5379325375618,"p5","e4","x"
-1.31078419717612,"p6","e4","y"
34.1066949312559,"p7","e4","z"
29.6095641692246,"p8","e4","x"
-1.65074573362066,"p9","e4","y"
33.7045009965155,"p10","e4","z"
29.9144568116147,"p1","e5","x"
-2.34185228357437,"p2","e5","y"
34.2486758544121,"p3","e5","z"
29.9485420205646,"p4","e5","x"
-1.89621891817724,"p5","e5","y"
35.7184678132345,"p6","e5","z"
30.5594774414807,"p7","e5","x"
-1.81747011163105,"p8","e5","y"
33.7006816572525,"p9","e5","z"
30.0218166953806,"p10","e5","x"
-1.62156256324912,"p1","e6","y"
36.5282850517591,"p2","e6","z"
25.9533531029711,"p3","e6","x"
-3.0929039488158,"p4","e6","y"
32.1187312370988,"p5","e6","z"
31.2831999505003,"p6","e6","x"
-3.31599810015794,"p7","e6","y"
32.8660716919192,"p8","e6","z"
29.3226340934725,"p9","e6","x"
-2.1056445473847,"p10","e6","y"
32.6920454122293,"p1","e7","z"
30.5219983169666,"p2","e7","x"
-3.62164562555762,"p3","e7","y"
33.7534697026905,"p4","e7","z"
33.1353325309942,"p5","e7","x"
-3.46478647972369,"p6","e7","y"
32.167862084114,"p7","e7","z"
32.5126182905446,"p8","e7","x"
-3.96636201374244,"p9","e7","y"
32.2495654977242,"p10","e7","z"
33.2254534687843,"p1","e8","x"
-3.02506240867404,"p2","e8","y"
34.2321029452468,"p3","e8","z"
27.8182412040133,"p4","e8","x"
-2.97466780485056,"p5","e8","y"
34.4407854255065,"p6","e8","z"
29.4230543966837,"p7","e8","x"
-2.70698342900791,"p8","e8","y"
36.3726793919738,"p9","e8","z"
30.5704717340211,"p10","e8","x"
-2.25754787477814,"p1","e9","y"
34.3626991609673,"p2","e9","z"
31.9131112105702,"p3","e9","x"
-2.35985223508111,"p4","e9","y"
34.8037362691107,"p5","e9","z"
30.1454218292298,"p6","e9","x"
-3.67598483640591,"p7","e9","y"
36.0815318670418,"p8","e9","z"
31.8488143412491,"p9","e9","x"
-3.23254402469022,"p10","e9","y"
35.7073808002952,"p1","e10","z"
31.3242606725882,"p2","e10","x"
-3.47882008603968,"p3","e10","y"
35.0629484388958,"p4","e10","z"
31.8907005831209,"p5","e10","x"
-2.34622533394143,"p6","e10","y"
33.7202038681296,"p7","e10","z"
33.0502439646304,"p8","e10","x"
-2.79186894445151,"p9","e10","y"
34.382575736613,"p10","e10","z"
32.1643178030687,"p1","e11","x"
-2.79000242472365,"p2","e11","y"
36.3136406658241,"p3","e11","z"
30.4478697274293,"p4","e11","x"
-1.0145127225402,"p5","e11","y"
36.1674273409898,"p6","e11","z"
28.8978464997032,"p7","e11","x"
-1.96494375146043,"p8","e11","y"
35.3688012106666,"p9","e11","z"
27.8721964753275,"p10","e11","x"
-2.42755745277919,"p1","e12","y"
34.810489368613,"p2","e12","z"
29.5670949533274,"p3","e12","x"
-1.43166653290216,"p4","e12","y"
34.5742798634264,"p5","e12","z"
31.8497424593513,"p6","e12","x"
